ref_odoo;libelle;code_barre;categorie;prix_achat
CHARBON CIRSKULL POCKET CARTON 10KG;CH0040;;CHARBONS;
CHARBON COCOCHA COCOMINI;CH0041;;CHARBONS;
CHARBON COCOINA 1KG;CH0030;;CHARBONS;
CHARBON COCOINA 20KG;CH0031;;CHARBONS;
CHARBON SKULL 1Kg;CH0020;;CHARBONS;
CHARBON SKULL CARTON 10KG;CH002;;CHARBONS;
CHARBON SKULL CUBE 1KG;CH004;;CHARBONS;
CHARBON SKULL CUBE CARTON 20KG;CH0032;;CHARBONS;
COFFRET BANG - PIPE - GRINDER;P031;;ACCESSOIRES FUMEURS;
COFFRET BANG EN VERRE;A005;;ACCESSOIRES FUMEURS;
COFFRET BANG EN VERRE MICRO CLEAR;A006;;ACCESSOIRES FUMEURS;
COFFRET BRIQUET ESSENCE CASINO X4/A24506;B320;;BRIQUETS - ESSENCE;
COFFRET BRIQUET ESSENCE CRAZY WEED X12/A260062;B322;;BRIQUETS - ESSENCE;
COFFRET BRIQUET ESSENCE HEMP LEAF X4/A245470;B320;;BRIQUETS - ESSENCE;
COFFRET BRIQUET ESSENCE HEMP X4/A245500;B321;;BRIQUETS - ESSENCE;
COFFRET BRIQUET ESSENCE LEAF X4;B005;;BRIQUETS - ESSENCE;
COFFRET BRIQUET ESSENCE POKER X4/A245050;B007;;BRIQUETS - ESSENCE;
COFFRET CHICHA SKULL;N001;;CHICHA / ACCESSOIRES;
COFFRET CHICHA SKULL DIAMOND;N002;;CHICHA / ACCESSOIRES;
COFFRET MATTEO ARGENT ETUI + BRIQUET;COF002;;COFFRETS ETUI + BRIQUET;
COFFRET MATTEO BLEU ETUI + BRIQUET/90361;COF005;;COFFRETS ETUI + BRIQUET;
COFFRET MATTEO OR ETUI + BRIQUET;COF003;;COFFRETS ETUI + BRIQUET;
COFFRET MATTEO ROUGE ETUI + BRIQUET/90358;COF001;;COFFRETS ETUI + BRIQUET;
COFFRET MATTEO VERT ETUI + BRIQUET/90360;COF004;;COFFRETS ETUI + BRIQUET;
COFFRET SUPER HEROES VERT/BLEU;P032;;ACCESSOIRES FUMEURS;
COUTEAU 3D GRIP - ARMY/8551;CTXX010;;COUTEAUX;
COUTEAU 3D GRIP - MOTARD/8556;CTXX012;;COUTEAUX;
COUTEAU 3D GRIP - SWAT/8552;CTXX011;;COUTEAUX;
COUTEAU A LAME FIXE TECK/3014;CTX001;;COUTEAUX;
